,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
10,4.5119217e-05,4.456107e-05,4.1676198e-05,4.0462233e-05,4.0732997e-05,4.111293e-05,4.6514077e-05,4.800991e-05,5.0293773e-05,5.0642913e-05,5.4740136e-05,5.2816322e-05,5.9310143e-05,6.0701972e-05,6.309766e-05,6.881748e-05,6.9126276e-05,6.741337e-05,7.412782e-05,7.424204e-05,7.329687e-05,7.8367615e-05,8.080703e-05,7.8039964e-05,8.3699175e-05,8.17657e-05,8.773992e-05,8.715669e-05,9.332419e-05,8.69798e-05,9.7447344e-05,9.4918694e-05,0.00010411541,0.00010265679,0.00010134995,0.0001093952,0.00010544768,0.00010722352,0.00011618982,0.000118780765,0.00011699682,0.000111888425,0.0001249777,0.00012663403,0.0001224558,0.0001224558,0.00012308733,0.00012308733,0.00012308733,0.00012760077,0.00012760077,0.00012760077,0.00012308733,0.00012308733,0.00012308733,0.0001224558,0.0001224558,0.00012663403,0.0001249777,0.000111888425,0.00011699682,0.000118780765,0.00011618982,0.00010722352,0.00010544768,0.0001093952,0.00010134995,0.00010265679,0.00010411541,9.4918694e-05,9.7447344e-05,8.69798e-05,9.332419e-05,8.715669e-05,8.773992e-05,8.17657e-05,8.3699175e-05,7.8039964e-05,8.080703e-05,7.8367615e-05,7.329687e-05,7.424204e-05,7.412782e-05,6.741337e-05,6.9126276e-05,6.881748e-05,6.309766e-05,6.0701972e-05,5.9310143e-05,5.2816322e-05,5.4740136e-05,5.0642913e-05,5.0293773e-05,4.800991e-05,4.6514077e-05,4.111293e-05,4.0732997e-05,4.0462233e-05,4.1676198e-05,4.456107e-05,4.5119217e-05
11,4.456107e-05,4.503811e-05,4.480644e-05,4.4293498e-05,4.6366586e-05,4.6514077e-05,4.800991e-05,5.0293773e-05,5.0642913e-05,5.4740136e-05,5.2816322e-05,5.2138254e-05,6.0701972e-05,6.057898e-05,6.881748e-05,6.9126276e-05,7.409763e-05,7.237023e-05,7.364031e-05,7.847101e-05,7.581025e-05,8.206784e-05,8.241498e-05,8.408965e-05,8.785557e-05,8.469731e-05,9.332419e-05,9.210308e-05,9.81236e-05,9.4918694e-05,0.00010411541,0.00010265679,0.00010221127,0.00011047683,0.00010722352,0.00011618982,0.000118780765,0.000111888425,0.0001249777,0.00012663403,0.00012308733,0.00012760077,0.00012779566,0.00012779566,0.00013437509,0.00013444445,0.00013444445,0.00013094021,0.00013094021,0.00013094021,0.00013094021,0.00013094021,0.00013094021,0.00013094021,0.00013444445,0.00013444445,0.00013437509,0.00012779566,0.00012779566,0.00012760077,0.00012308733,0.00012663403,0.0001249777,0.000111888425,0.000118780765,0.00011618982,0.00010722352,0.00011047683,0.00010221127,0.00010265679,0.00010411541,9.4918694e-05,9.81236e-05,9.210308e-05,9.332419e-05,8.469731e-05,8.785557e-05,8.408965e-05,8.241498e-05,8.206784e-05,7.581025e-05,7.847101e-05,7.364031e-05,7.237023e-05,7.409763e-05,6.9126276e-05,6.881748e-05,6.057898e-05,6.0701972e-05,5.2138254e-05,5.2816322e-05,5.4740136e-05,5.0642913e-05,5.0293773e-05,4.800991e-05,4.6514077e-05,4.6366586e-05,4.4293498e-05,4.480644e-05,4.503811e-05,4.456107e-05
12,4.3680287e-05,4.487722e-05,4.5602246e-05,4.486659e-05,4.736836e-05,4.902016e-05,5.0509192e-05,5.2029452e-05,5.4740136e-05,5.2816322e-05,5.9310143e-05,6.0701972e-05,6.057898e-05,6.881748e-05,6.8384026e-05,7.409763e-05,7.237023e-05,7.621691e-05,7.646049e-05,7.739869e-05,8.003331e-05,8.3699175e-05,8.17657e-05,8.773992e-05,8.715669e-05,9.1955764e-05,9.81236e-05,9.7284945e-05,0.00010411541,0.00010265679,0.00010221127,0.00011047683,0.00010722352,0.00011618982,0.00011699682,0.0001249777,0.00012663403,0.00012308733,0.00012760077,0.00013437509,0.00013444445,0.00013094021,0.00013597442,0.00014007145,0.00013967036,0.00013967036,0.00014037255,0.00014037255,0.00013911523,0.00013911523,0.00013911523,0.00013911523,0.00013911523,0.00014037255,0.00014037255,0.00013967036,0.00013967036,0.00014007145,0.00013597442,0.00013094021,0.00013444445,0.00013437509,0.00012760077,0.00012308733,0.00012663403,0.0001249777,0.00011699682,0.00011618982,0.00010722352,0.00011047683,0.00010221127,0.00010265679,0.00010411541,9.7284945e-05,9.81236e-05,9.1955764e-05,8.715669e-05,8.773992e-05,8.17657e-05,8.3699175e-05,8.003331e-05,7.739869e-05,7.646049e-05,7.621691e-05,7.237023e-05,7.409763e-05,6.8384026e-05,6.881748e-05,6.057898e-05,6.0701972e-05,5.9310143e-05,5.2816322e-05,5.4740136e-05,5.2029452e-05,5.0509192e-05,4.902016e-05,4.736836e-05,4.486659e-05,4.5602246e-05,4.487722e-05,4.3680287e-05
13,3.8333597e-05,4.034144e-05,4.6460704e-05,4.736836e-05,4.902016e-05,5.0509192e-05,5.2029452e-05,5.4740136e-05,5.4945962e-05,5.9310143e-05,6.0701972e-05,6.057898e-05,6.881748e-05,6.8384026e-05,7.409763e-05,7.4909476e-05,7.621691e-05,7.646049e-05,8.080703e-05,7.8039964e-05,8.281575e-05,8.271556e-05,8.469731e-05,9.332419e-05,9.210308e-05,9.7447344e-05,9.456124e-05,0.00010291371,0.00010221127,0.00011047683,0.00010722352,0.00011618982,0.00011699682,0.0001249777,0.0001224558,0.00012760077,0.00013437509,0.00013444445,0.00013597442,0.00014007145,0.00013967036,0.00014037255,0.00013911523,0.00014505572,0.00014333324,0.00014844473,0.00014844473,0.00014564898,0.00014564898,0.00014564898,0.00014564898,0.00014564898,0.00014564898,0.00014564898,0.00014844473,0.00014844473,0.00014333324,0.00014505572,0.00013911523,0.00014037255,0.00013967036,0.00014007145,0.00013597442,0.00013444445,0.00013437509,0.00012760077,0.0001224558,0.0001249777,0.00011699682,0.00011618982,0.00010722352,0.00011047683,0.00010221127,0.00010291371,9.456124e-05,9.7447344e-05,9.210308e-05,9.332419e-05,8.469731e-05,8.271556e-05,8.281575e-05,7.8039964e-05,8.080703e-05,7.646049e-05,7.621691e-05,7.4909476e-05,7.409763e-05,6.8384026e-05,6.881748e-05,6.057898e-05,6.0701972e-05,5.9310143e-05,5.4945962e-05,5.4740136e-05,5.2029452e-05,5.0509192e-05,4.902016e-05,4.736836e-05,4.6460704e-05,4.034144e-05,3.8333597e-05
14,4.0462233e-05,4.0732997e-05,4.547182e-05,4.7723814e-05,4.8229766e-05,4.9652543e-05,4.9374514e-05,5.4945962e-05,5.9310143e-05,6.0701972e-05,6.309766e-05,6.881748e-05,6.8384026e-05,7.409763e-05,7.4909476e-05,7.621691e-05,7.8367615e-05,8.080703e-05,7.8039964e-05,8.281575e-05,8.785557e-05,8.715669e-05,9.1955764e-05,8.69798e-05,9.7284945e-05,0.00010411541,0.00010134995,0.0001093952,0.00010722352,0.00011618982,0.00011699682,0.0001249777,0.00012308733,0.00012779566,0.00013437509,0.00013094021,0.00014007145,0.00014037255,0.00013911523,0.00014505572,0.00014844473,0.00014564898,0.00014866938,0.00015209752,0.00015209752,0.00015498417,0.00015361852,0.00015361852,0.00015361852,0.00015598196,0.00015598196,0.00015598196,0.00015361852,0.00015361852,0.00015361852,0.00015498417,0.00015209752,0.00015209752,0.00014866938,0.00014564898,0.00014844473,0.00014505572,0.00013911523,0.00014037255,0.00014007145,0.00013094021,0.00013437509,0.00012779566,0.00012308733,0.0001249777,0.00011699682,0.00011618982,0.00010722352,0.0001093952,0.00010134995,0.00010411541,9.7284945e-05,8.69798e-05,9.1955764e-05,8.715669e-05,8.785557e-05,8.281575e-05,7.8039964e-05,8.080703e-05,7.8367615e-05,7.621691e-05,7.4909476e-05,7.409763e-05,6.8384026e-05,6.881748e-05,6.309766e-05,6.0701972e-05,5.9310143e-05,5.4945962e-05,4.9374514e-05,4.9652543e-05,4.8229766e-05,4.7723814e-05,4.547182e-05,4.0732997e-05,4.0462233e-05
15,4.4293498e-05,4.6366586e-05,4.505001e-05,4.828484e-05,4.829107e-05,4.9859114e-05,5.2522697e-05,5.0999886e-05,5.4722626e-05,6.309766e-05,6.881748e-05,6.9126276e-05,7.409763e-05,7.4909476e-05,7.621691e-05,7.8367615e-05,8.080703e-05,8.241498e-05,8.408965e-05,8.785557e-05,8.715669e-05,9.1955764e-05,9.81236e-05,9.4918694e-05,0.00010291371,0.00010221127,0.00011047683,0.00011031622,0.00011699682,0.0001249777,0.0001224558,0.00012779566,0.00013444445,0.00013597442,0.00013967036,0.00014037255,0.00014505572,0.00014844473,0.00014564898,0.00015209752,0.00015498417,0.00015361852,0.00015598196,0.00016176938,0.0001609782,0.0001609782,0.00016374468,0.00016374468,0.00016542361,0.00016542361,0.00016542361,0.00016542361,0.00016542361,0.00016374468,0.00016374468,0.0001609782,0.0001609782,0.00016176938,0.00015598196,0.00015361852,0.00015498417,0.00015209752,0.00014564898,0.00014844473,0.00014505572,0.00014037255,0.00013967036,0.00013597442,0.00013444445,0.00012779566,0.0001224558,0.0001249777,0.00011699682,0.00011031622,0.00011047683,0.00010221127,0.00010291371,9.4918694e-05,9.81236e-05,9.1955764e-05,8.715669e-05,8.785557e-05,8.408965e-05,8.241498e-05,8.080703e-05,7.8367615e-05,7.621691e-05,7.4909476e-05,7.409763e-05,6.9126276e-05,6.881748e-05,6.309766e-05,5.4722626e-05,5.0999886e-05,5.2522697e-05,4.9859114e-05,4.829107e-05,4.828484e-05,4.505001e-05,4.6366586e-05,4.4293498e-05
16,4.486659e-05,4.736836e-05,4.800991e-05,5.0293773e-05,5.0642913e-05,4.7932983e-05,5.2693103e-05,5.7498153e-05,5.652573e-05,5.990479e-05,6.9126276e-05,7.409763e-05,7.237023e-05,7.621691e-05,7.8367615e-05,8.080703e-05,8.241498e-05,8.408965e-05,8.785557e-05,8.896125e-05,9.210308e-05,9.7447344e-05,9.456124e-05,0.00010265679,0.0001093952,0.00010722352,0.00011618982,0.000111888425,0.00012663403,0.00012760077,0.00013437509,0.00013094021,0.00013967036,0.00013911523,0.00014333324,0.00014844473,0.00014866938,0.00015498417,0.00015361852,0.00016176938,0.0001609782,0.00016374468,0.00016542361,0.0001695185,0.00017459743,0.00017342347,0.00017342347,0.0001755559,0.0001755559,0.0001755559,0.0001755559,0.0001755559,0.0001755559,0.0001755559,0.00017342347,0.00017342347,0.00017459743,0.0001695185,0.00016542361,0.00016374468,0.0001609782,0.00016176938,0.00015361852,0.00015498417,0.00014866938,0.00014844473,0.00014333324,0.00013911523,0.00013967036,0.00013094021,0.00013437509,0.00012760077,0.00012663403,0.000111888425,0.00011618982,0.00010722352,0.0001093952,0.00010265679,9.456124e-05,9.7447344e-05,9.210308e-05,8.896125e-05,8.785557e-05,8.408965e-05,8.241498e-05,8.080703e-05,7.8367615e-05,7.621691e-05,7.237023e-05,7.409763e-05,6.9126276e-05,5.990479e-05,5.652573e-05,5.7498153e-05,5.2693103e-05,4.7932983e-05,5.0642913e-05,5.0293773e-05,4.800991e-05,4.736836e-05,4.486659e-05
17,4.547182e-05,4.7723814e-05,5.0509192e-05,5.2029452e-05,5.4740136e-05,5.2816322e-05,5.2138254e-05,5.773884e-05,6.4224005e-05,6.458193e-05,6.741337e-05,7.237023e-05,7.621691e-05,7.646049e-05,8.080703e-05,8.241498e-05,8.408965e-05,8.785557e-05,8.896125e-05,9.210308e-05,9.7447344e-05,9.456124e-05,0.00010134995,0.00011047683,0.00010722352,0.000118780765,0.0001249777,0.00012308733,0.00012779566,0.00013094021,0.00014007145,0.00014037255,0.00014333324,0.00014564898,0.00015209752,0.00015361852,0.00015598196,0.0001609782,0.00016542361,0.0001695185,0.00017459743,0.00017342347,0.00018137043,0.00018137043,0.00018762752,0.00018407711,0.00018961713,0.00018961713,0.00018961713,0.00019310137,0.00019310137,0.00019310137,0.00018961713,0.00018961713,0.00018961713,0.00018407711,0.00018762752,0.00018137043,0.00018137043,0.00017342347,0.00017459743,0.0001695185,0.00016542361,0.0001609782,0.00015598196,0.00015361852,0.00015209752,0.00014564898,0.00014333324,0.00014037255,0.00014007145,0.00013094021,0.00012779566,0.00012308733,0.0001249777,0.000118780765,0.00010722352,0.00011047683,0.00010134995,9.456124e-05,9.7447344e-05,9.210308e-05,8.896125e-05,8.785557e-05,8.408965e-05,8.241498e-05,8.080703e-05,7.646049e-05,7.621691e-05,7.237023e-05,6.741337e-05,6.458193e-05,6.4224005e-05,5.773884e-05,5.2138254e-05,5.2816322e-05,5.4740136e-05,5.2029452e-05,5.0509192e-05,4.7723814e-05,4.547182e-05
18,4.505001e-05,4.828484e-05,4.9652543e-05,4.9374514e-05,5.4945962e-05,5.9310143e-05,6.0701972e-05,6.057898e-05,6.457441e-05,7.1319206e-05,7.412782e-05,7.364031e-05,7.646049e-05,8.080703e-05,7.8039964e-05,8.408965e-05,8.785557e-05,8.896125e-05,9.210308e-05,9.7284945e-05,0.00010411541,0.00010134995,0.00011047683,0.00011031622,0.00011699682,0.00012663403,0.00012760077,0.00013437509,0.00013597442,0.00014037255,0.00014505572,0.00014844473,0.00014866938,0.00015361852,0.00016176938,0.00016374468,0.00016542361,0.00017459743,0.0001755559,0.00018137043,0.00018762752,0.00018961713,0.00019310137,0.00019874448,0.00019674646,0.00019674646,0.00020565873,0.00020565873,0.00020693753,0.00020693753,0.00020693753,0.00020693753,0.00020693753,0.00020565873,0.00020565873,0.00019674646,0.00019674646,0.00019874448,0.00019310137,0.00018961713,0.00018762752,0.00018137043,0.0001755559,0.00017459743,0.00016542361,0.00016374468,0.00016176938,0.00015361852,0.00014866938,0.00014844473,0.00014505572,0.00014037255,0.00013597442,0.00013437509,0.00012760077,0.00012663403,0.00011699682,0.00011031622,0.00011047683,0.00010134995,0.00010411541,9.7284945e-05,9.210308e-05,8.896125e-05,8.785557e-05,8.408965e-05,7.8039964e-05,8.080703e-05,7.646049e-05,7.364031e-05,7.412782e-05,7.1319206e-05,6.457441e-05,6.057898e-05,6.0701972e-05,5.9310143e-05,5.4945962e-05,4.9374514e-05,4.9652543e-05,4.828484e-05,4.505001e-05
19,4.800991e-05,5.0293773e-05,5.0642913e-05,5.2522697e-05,5.0999886e-05,5.4722626e-05,6.309766e-05,6.881748e-05,6.8384026e-05,6.9919064e-05,7.424204e-05,7.847101e-05,7.739869e-05,7.8039964e-05,8.281575e-05,8.785557e-05,8.896125e-05,9.210308e-05,9.7284945e-05,0.00010411541,0.00010134995,0.00011047683,0.00011618982,0.000111888425,0.0001224558,0.00012779566,0.00013444445,0.00014007145,0.00013911523,0.00014333324,0.00014866938,0.00015498417,0.00015598196,0.0001609782,0.0001695185,0.00017459743,0.0001755559,0.00018762752,0.00018961713,0.00019310137,0.00019874448,0.00020565873,0.00020693753,0.0002111959,0.00021470287,0.00021470287,0.00022002221,0.00022111708,0.00022111708,0.00022111708,0.00022111708,0.00022111708,0.00022111708,0.00022111708,0.00022002221,0.00021470287,0.00021470287,0.0002111959,0.00020693753,0.00020565873,0.00019874448,0.00019310137,0.00018961713,0.00018762752,0.0001755559,0.00017459743,0.0001695185,0.0001609782,0.00015598196,0.00015498417,0.00014866938,0.00014333324,0.00013911523,0.00014007145,0.00013444445,0.00012779566,0.0001224558,0.000111888425,0.00011618982,0.00011047683,0.00010134995,0.00010411541,9.7284945e-05,9.210308e-05,8.896125e-05,8.785557e-05,8.281575e-05,7.8039964e-05,7.739869e-05,7.847101e-05,7.424204e-05,6.9919064e-05,6.8384026e-05,6.881748e-05,6.309766e-05,5.4722626e-05,5.0999886e-05,5.2522697e-05,5.0642913e-05,5.0293773e-05,4.800991e-05
20,4.8229766e-05,5.2029452e-05,5.4740136e-05,5.2816322e-05,5.7498153e-05,5.652573e-05,5.990479e-05,6.9126276e-05,7.409763e-05,7.4909476e-05,7.329687e-05,7.581025e-05,8.003331e-05,8.281575e-05,8.785557e-05,8.715669e-05,9.210308e-05,9.7447344e-05,0.00010411541,0.00010134995,0.00010544768,0.00011618982,0.000111888425,0.0001224558,0.00012779566,0.00013094021,0.00013967036,0.00014505572,0.00014844473,0.00015209752,0.00015361852,0.0001609782,0.00016542361,0.00017459743,0.0001755559,0.00018762752,0.00018961713,0.00019874448,0.00020565873,0.00020693753,0.00021470287,0.00022002221,0.00022111708,0.00022922055,0.000230306,0.00023252616,0.00023252616,0.00024008872,0.00024008872,0.00024008872,0.00024008872,0.00024008872,0.00024008872,0.00024008872,0.00023252616,0.00023252616,0.000230306,0.00022922055,0.00022111708,0.00022002221,0.00021470287,0.00020693753,0.00020565873,0.00019874448,0.00018961713,0.00018762752,0.0001755559,0.00017459743,0.00016542361,0.0001609782,0.00015361852,0.00015209752,0.00014844473,0.00014505572,0.00013967036,0.00013094021,0.00012779566,0.0001224558,0.000111888425,0.00011618982,0.00010544768,0.00010134995,0.00010411541,9.7447344e-05,9.210308e-05,8.715669e-05,8.785557e-05,8.281575e-05,8.003331e-05,7.581025e-05,7.329687e-05,7.4909476e-05,7.409763e-05,6.9126276e-05,5.990479e-05,5.652573e-05,5.7498153e-05,5.2816322e-05,5.4740136e-05,5.2029452e-05,4.8229766e-05
21,4.829107e-05,4.9859114e-05,5.4945962e-05,5.9310143e-05,6.0701972e-05,6.4224005e-05,6.458193e-05,6.741337e-05,7.237023e-05,7.621691e-05,7.8367615e-05,8.206784e-05,8.3699175e-05,8.271556e-05,8.715669e-05,9.1955764e-05,9.7447344e-05,9.456124e-05,0.00010134995,0.00011047683,0.00011618982,0.000111888425,0.0001224558,0.00012779566,0.00013094021,0.00013967036,0.00014505572,0.00014564898,0.00015498417,0.00015598196,0.00016374468,0.0001695185,0.0001755559,0.00018762752,0.00018961713,0.00019874448,0.00020565873,0.0002111959,0.00022002221,0.00022111708,0.00022922055,0.00023252616,0.00024008872,0.00024109945,0.00024797712,0.00024760817,0.00024760817,0.00025397268,0.00025397268,0.00025397268,0.00025397268,0.00025397268,0.00025397268,0.00025397268,0.00024760817,0.00024760817,0.00024797712,0.00024109945,0.00024008872,0.00023252616,0.00022922055,0.00022111708,0.00022002221,0.0002111959,0.00020565873,0.00019874448,0.00018961713,0.00018762752,0.0001755559,0.0001695185,0.00016374468,0.00015598196,0.00015498417,0.00014564898,0.00014505572,0.00013967036,0.00013094021,0.00012779566,0.0001224558,0.000111888425,0.00011618982,0.00011047683,0.00010134995,9.456124e-05,9.7447344e-05,9.1955764e-05,8.715669e-05,8.271556e-05,8.3699175e-05,8.206784e-05,7.8367615e-05,7.621691e-05,7.237023e-05,6.741337e-05,6.458193e-05,6.4224005e-05,6.0701972e-05,5.9310143e-05,5.4945962e-05,4.9859114e-05,4.829107e-05
22,5.0642913e-05,4.7932983e-05,5.2693103e-05,5.4722626e-05,6.309766e-05,6.881748e-05,7.1319206e-05,7.412782e-05,7.364031e-05,7.646049e-05,8.080703e-05,8.241498e-05,8.17657e-05,8.469731e-05,9.1955764e-05,9.81236e-05,9.456124e-05,0.00010134995,0.00011047683,0.00011618982,0.000111888425,0.0001224558,0.00013437509,0.00013597442,0.00014037255,0.00014333324,0.00014866938,0.00015361852,0.00016176938,0.00016542361,0.00017342347,0.00018137043,0.00018407711,0.00019874448,0.00020565873,0.0002111959,0.00022002221,0.00022922055,0.000230306,0.00024008872,0.00024109945,0.00024760817,0.00025397268,0.0002603881,0.00026481407,0.0002652078,0.0002652078,0.00027269326,0.00027269326,0.00027269326,0.00027269326,0.00027269326,0.00027269326,0.00027269326,0.0002652078,0.0002652078,0.00026481407,0.0002603881,0.00025397268,0.00024760817,0.00024109945,0.00024008872,0.000230306,0.00022922055,0.00022002221,0.0002111959,0.00020565873,0.00019874448,0.00018407711,0.00018137043,0.00017342347,0.00016542361,0.00016176938,0.00015361852,0.00014866938,0.00014333324,0.00014037255,0.00013597442,0.00013437509,0.0001224558,0.000111888425,0.00011618982,0.00011047683,0.00010134995,9.456124e-05,9.81236e-05,9.1955764e-05,8.469731e-05,8.17657e-05,8.241498e-05,8.080703e-05,7.646049e-05,7.364031e-05,7.412782e-05,7.1319206e-05,6.881748e-05,6.309766e-05,5.4722626e-05,5.2693103e-05,4.7932983e-05,5.0642913e-05
23,4.9374514e-05,5.2816322e-05,5.2138254e-05,5.773884e-05,5.990479e-05,6.9126276e-05,7.409763e-05,7.4909476e-05,7.847101e-05,7.739869e-05,7.8039964e-05,8.408965e-05,8.773992e-05,9.332419e-05,8.69798e-05,9.4918694e-05,0.00010265679,0.00011047683,0.00011031622,0.000111888425,0.0001224558,0.00012779566,0.00013597442,0.00014037255,0.00014333324,0.00014866938,0.00015361852,0.0001609782,0.0001695185,0.00017342347,0.00018762752,0.00019310137,0.00019674646,0.00020693753,0.00022002221,0.00022922055,0.00023252616,0.00024008872,0.00024797712,0.00025397268,0.0002603881,0.0002652078,0.00027269326,0.00027892864,0.0002819934,0.00028791378,0.00028791378,0.00029004182,0.00029004182,0.00029004182,0.00029673686,0.00029004182,0.00029004182,0.00029004182,0.00028791378,0.00028791378,0.0002819934,0.00027892864,0.00027269326,0.0002652078,0.0002603881,0.00025397268,0.00024797712,0.00024008872,0.00023252616,0.00022922055,0.00022002221,0.00020693753,0.00019674646,0.00019310137,0.00018762752,0.00017342347,0.0001695185,0.0001609782,0.00015361852,0.00014866938,0.00014333324,0.00014037255,0.00013597442,0.00012779566,0.0001224558,0.000111888425,0.00011031622,0.00011047683,0.00010265679,9.4918694e-05,8.69798e-05,9.332419e-05,8.773992e-05,8.408965e-05,7.8039964e-05,7.739869e-05,7.847101e-05,7.4909476e-05,7.409763e-05,6.9126276e-05,5.990479e-05,5.773884e-05,5.2138254e-05,5.2816322e-05,4.9374514e-05
24,4.7932983e-05,5.0999886e-05,5.4722626e-05,6.057898e-05,6.457441e-05,6.741337e-05,7.237023e-05,7.621691e-05,7.8367615e-05,8.206784e-05,8.3699175e-05,8.785557e-05,8.715669e-05,9.210308e-05,9.7284945e-05,0.00010291371,0.0001093952,0.00010722352,0.00011699682,0.0001224558,0.00012779566,0.00013094021,0.00014037255,0.00014333324,0.00014866938,0.00015361852,0.0001609782,0.0001695185,0.0001755559,0.00018407711,0.00019310137,0.00020565873,0.00021470287,0.00022111708,0.000230306,0.00024008872,0.00024797712,0.00025397268,0.00026481407,0.00027269326,0.00027892864,0.0002819934,0.00029004182,0.00029673686,0.0003018674,0.0003075286,0.0003075286,0.00031303143,0.00031303143,0.00031303143,0.00031303143,0.00031303143,0.00031303143,0.00031303143,0.0003075286,0.0003075286,0.0003018674,0.00029673686,0.00029004182,0.0002819934,0.00027892864,0.00027269326,0.00026481407,0.00025397268,0.00024797712,0.00024008872,0.000230306,0.00022111708,0.00021470287,0.00020565873,0.00019310137,0.00018407711,0.0001755559,0.0001695185,0.0001609782,0.00015361852,0.00014866938,0.00014333324,0.00014037255,0.00013094021,0.00012779566,0.0001224558,0.00011699682,0.00010722352,0.0001093952,0.00010291371,9.7284945e-05,9.210308e-05,8.715669e-05,8.785557e-05,8.3699175e-05,8.206784e-05,7.8367615e-05,7.621691e-05,7.237023e-05,6.741337e-05,6.457441e-05,6.057898e-05,5.4722626e-05,5.0999886e-05,4.7932983e-05
25,5.2816322e-05,5.2138254e-05,5.652573e-05,5.990479e-05,6.8384026e-05,6.9919064e-05,7.424204e-05,7.646049e-05,8.080703e-05,8.241498e-05,8.17657e-05,8.469731e-05,9.1955764e-05,9.7447344e-05,0.00010411541,0.00010221127,0.00010722352,0.000118780765,0.00012663403,0.00012779566,0.00013094021,0.00013967036,0.00014333324,0.00014866938,0.00015361852,0.0001609782,0.00017459743,0.0001755559,0.00018407711,0.00019874448,0.00020693753,0.00021470287,0.00022922055,0.00023252616,0.00024797712,0.00025397268,0.00026481407,0.00027269326,0.0002819934,0.00028791378,0.00029673686,0.0003018674,0.0003075286,0.00031684383,0.00032363666,0.00032363666,0.0003290549,0.00033556088,0.00033556088,0.00033556088,0.00033556088,0.00033556088,0.00033556088,0.00033556088,0.0003290549,0.00032363666,0.00032363666,0.00031684383,0.0003075286,0.0003018674,0.00029673686,0.00028791378,0.0002819934,0.00027269326,0.00026481407,0.00025397268,0.00024797712,0.00023252616,0.00022922055,0.00021470287,0.00020693753,0.00019874448,0.00018407711,0.0001755559,0.00017459743,0.0001609782,0.00015361852,0.00014866938,0.00014333324,0.00013967036,0.00013094021,0.00012779566,0.00012663403,0.000118780765,0.00010722352,0.00010221127,0.00010411541,9.7447344e-05,9.1955764e-05,8.469731e-05,8.17657e-05,8.241498e-05,8.080703e-05,7.646049e-05,7.424204e-05,6.9919064e-05,6.8384026e-05,5.990479e-05,5.652573e-05,5.2138254e-05,5.2816322e-05
26,5.0999886e-05,6.0701972e-05,6.057898e-05,6.458193e-05,6.741337e-05,7.237023e-05,7.329687e-05,7.581025e-05,8.003331e-05,8.281575e-05,8.773992e-05,9.332419e-05,9.81236e-05,9.456124e-05,0.00010134995,0.00011047683,0.00011618982,0.0001249777,0.00012760077,0.00013444445,0.00013967036,0.00014505572,0.00014866938,0.00015361852,0.0001609782,0.00017459743,0.00018137043,0.00018961713,0.00019674646,0.00020693753,0.00022002221,0.000230306,0.00024008872,0.00024760817,0.0002603881,0.0002652078,0.00027892864,0.00028791378,0.00029673686,0.0003075286,0.00031303143,0.00032363666,0.0003290549,0.00033556088,0.00033909152,0.00034507102,0.00034945016,0.00035667256,0.00035667256,0.00035667256,0.00035667256,0.00035667256,0.00035667256,0.00035667256,0.00034945016,0.00034507102,0.00033909152,0.00033556088,0.0003290549,0.00032363666,0.00031303143,0.0003075286,0.00029673686,0.00028791378,0.00027892864,0.0002652078,0.0002603881,0.00024760817,0.00024008872,0.000230306,0.00022002221,0.00020693753,0.00019674646,0.00018961713,0.00018137043,0.00017459743,0.0001609782,0.00015361852,0.00014866938,0.00014505572,0.00013967036,0.00013444445,0.00012760077,0.0001249777,0.00011618982,0.00011047683,0.00010134995,9.456124e-05,9.81236e-05,9.332419e-05,8.773992e-05,8.281575e-05,8.003331e-05,7.581025e-05,7.329687e-05,7.237023e-05,6.741337e-05,6.458193e-05,6.057898e-05,6.0701972e-05,5.0999886e-05
